Candidate_ID,Model,Precision,Recall,F1,F3,Processor,prompt_level
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_063e7098_gpt5-mpu.py,gpt5,0.8173223733901978,0.8748626708984375,0.8451142311096191,0.8687465786933899,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_0c65b536_gpt5-mpu.py,gpt5,0.8255857229232788,0.8693276047706604,0.846892237663269,0.8647459149360657,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_1ccc2ff1_gpt5-mpu.py,gpt5,0.8026617765426636,0.8762222528457642,0.8378304839134216,0.86826491355896,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_350322ae_gpt5-mpu.py,gpt5,0.8094247579574585,0.87104731798172,0.8391061425209045,0.8644660115242004,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_4a9b8ab8_gpt5-mpu.py,gpt5,0.819981038570404,0.8672214150428772,0.8429398536682129,0.8622537851333618,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_4cfdc411_gpt5-mpu.py,gpt5,0.819665789604187,0.8711857795715332,0.844640851020813,0.8657441139221191,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_57182ac0_gpt5-mpu.py,gpt5,0.813052773475647,0.8641136884689331,0.8378059267997742,0.8587208390235901,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_678d7180_gpt5-mpu.py,gpt5,0.8079651594161987,0.8685891628265381,0.8371810913085938,0.8621203899383545,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_69ab24d8_gpt5-mpu.py,gpt5,0.8234759569168091,0.8756267428398132,0.8487510681152344,0.8701162934303284,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_6aca9a6a_gpt5-mpu.py,gpt5,0.8188713788986206,0.8696702122688293,0.8435066938400269,0.8643084764480591,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_6b4eb746_gpt5-mpu.py,gpt5,0.8170418739318848,0.875300407409668,0.8451683521270752,0.8691032528877258,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_6fbcd836_gpt5-mpu.py,gpt5,0.8198253512382507,0.875428318977356,0.8467150330543518,0.8695309162139893,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_72247c08_gpt5-mpu.py,gpt5,0.8132887482643127,0.8760972023010254,0.8435254693031311,0.8693832159042358,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_74405acd_gpt5-mpu.py,gpt5,0.8036806583404541,0.8808338642120361,0.8404904007911682,0.872458279132843,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_799dd414_gpt5-mpu.py,gpt5,0.8127906322479248,0.870148777961731,0.8404922485351562,0.8640512824058533,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_8d408e42_gpt5-mpu.py,gpt5,0.8170220851898193,0.877476692199707,0.846170961856842,0.871031641960144,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_a229227d_gpt5-mpu.py,gpt5,0.8031363487243652,0.8730759620666504,0.836647093296051,0.8655385971069336,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_a3973587_gpt5-mpu.py,gpt5,0.7900213599205017,0.875173807144165,0.8304203748703003,0.8658413887023926,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_ac40d148_gpt5-mpu.py,gpt5,0.8262130618095398,0.8743966817855835,0.8496223092079163,0.8693268895149231,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_bb0a8235_gpt5-mpu.py,gpt5,0.8133969306945801,0.8709627389907837,0.8411961197853088,0.8648420572280884,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_bb1a3199_gpt5-mpu.py,gpt5,0.8073732852935791,0.8714869022369385,0.838205873966217,0.8646209239959717,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_d2b83727_gpt5-mpu.py,gpt5,0.8088236451148987,0.8648595809936523,0.8359035849571228,0.8589090704917908,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_d540443c_gpt5-mpu.py,gpt5,0.7890627980232239,0.8717312812805176,0.8283395767211914,0.8626930117607117,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_efd59842_gpt5-mpu.py,gpt5,0.8053169846534729,0.8710214495658875,0.8368815779685974,0.8639724254608154,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_f4c6d156_gpt5-mpu.py,gpt5,0.8124984502792358,0.8703696727752686,0.8404390215873718,0.8642142415046692,tpusg,original
data_analysis/2026/02.03_gpt5-mpu/exported_valid_code/tpusg/tpusg_f6dad1b1_gpt5-mpu.py,gpt5,0.8130797147750854,0.8708886504173279,0.8409919142723083,0.8647404313087463,tpusg,original
