none,phi4_ab1p_tpusg_batch,0,4086,76.7,804d_tpu_sketch_generator,,0,805,failure,0.0,4891,804dc9a6,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3762,71.33,542e_tpu_sketch_generator,,0,805,failure,0.0,4567,542e83dd,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3856,72.12,3352_tpu_sketch_generator,,0,805,failure,0.0,4661,33528ce8,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4107,76.83,b165_tpu_sketch_generator,,0,805,success,0.0,4912,b165a5bb,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4159,78.33,f6b8_tpu_sketch_generator,,0,805,failure,0.0,4964,f6b8fa0c,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,2783,52.84,a5b6_tpu_sketch_generator,,0,644,success,0.0,3427,a5b64fe0,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,1555,29.52,05de_tpu_sketch_generator,,0,322,success,0.0,1877,05de57ce,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3961,76.5,46d9_tpu_sketch_generator,,0,805,failure,0.0,4766,46d9e1e4,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3307,62.07,ba53_tpu_sketch_generator,,0,805,failure,0.0,4112,ba53810e,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4200,78.78,d0bb_tpu_sketch_generator,,0,805,failure,0.0,5005,d0bb4b79,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3902,73.09,9ef9_tpu_sketch_generator,,0,805,failure,0.0,4707,9ef9ac4a,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3852,71.95,54c8_tpu_sketch_generator,,0,805,failure,0.0,4657,54c8f55b,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4431,83.0,1b82_tpu_sketch_generator,,0,805,failure,0.0,5236,1b82299c,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,4148,85.07,0dc2_tpu_sketch_generator,,0,805,failure,0.0,4953,0dc2bfbc,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,3074,62.99,3a79_tpu_sketch_generator,,0,644,success,0.0,3718,3a79ad28,tpusg,phi4-ab1
none,phi4_ab1p_tpusg_batch,0,854,18.51,0372_tpu_sketch_generator,,0,161,success,0.0,1015,0372a7e8,tpusg,phi4-ab1
