trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
42981e86,phi4_3b43_tpusg,success,21.16,2750,1806,944,T,tpusg,phi4,4298_tpusg,P,8.07,phi4_tpusg_P
ec39ef3b,phi4_3b43_tpusg,success,20.01,2750,1806,944,T,tpusg,phi4,ec39_tpusg,P,8.07,phi4_tpusg_P
9b178a93,phi4_3b43_tpusg,success,20.17,2756,1806,950,T,tpusg,phi4,9b17_tpusg,P,8.07,phi4_tpusg_P
1fe7f8dc,phi4_3b43_tpusg,success,19.75,2732,1806,926,T,tpusg,phi4,1fe7_tpusg,P,8.07,phi4_tpusg_P
5f8eb9ed,phi4_3b43_tpusg,success,20.16,2750,1806,944,T,tpusg,phi4,5f8e_tpusg,P,8.07,phi4_tpusg_P
04deea5e,phi4_3b43_tpusg,success,20.16,2756,1806,950,T,tpusg,phi4,04de_tpusg,P,8.07,phi4_tpusg_P
97d74c6f,phi4_3b43_tpusg,success,20.98,2750,1806,944,T,tpusg,phi4,97d7_tpusg,P,8.07,phi4_tpusg_P
e2257b5f,phi4_3b43_tpusg,success,19.86,2732,1806,926,T,tpusg,phi4,e225_tpusg,P,8.07,phi4_tpusg_P
bc9cbdbd,phi4_3b43_tpusg,success,20.08,2750,1806,944,T,tpusg,phi4,bc9c_tpusg,P,8.07,phi4_tpusg_P
93c3d0f1,phi4_3b43_tpusg,success,20.21,2750,1806,944,T,tpusg,phi4,93c3_tpusg,P,8.07,phi4_tpusg_P
0181bb76,phi4_3b43_tpusg,success,20.16,2756,1806,950,T,tpusg,phi4,0181_tpusg,P,8.07,phi4_tpusg_P
54ec841a,phi4_3b43_tpusg,success,20.02,2750,1806,944,T,tpusg,phi4,54ec_tpusg,P,8.07,phi4_tpusg_P
7ebdc64c,phi4_3b43_tpusg,success,20.26,2756,1806,950,T,tpusg,phi4,7ebd_tpusg,P,8.07,phi4_tpusg_P
c4593086,phi4_85a9_psg,success,76.23,11309,7742,3567,F,psg,phi4,c459_pysg,NP,7.3,phi4_psg_NP
59566d9a,phi4_85a9_psg,success,66.74,8866,5694,3172,F,psg,phi4,5956_pysg,NP,7.3,phi4_psg_NP
5c842f26,phi4_85a9_psg,success,13.72,2233,1598,635,F,psg,phi4,5c84_pysg,NP,7.3,phi4_psg_NP
ea053ed4,phi4_85a9_psg,success,16.18,2357,1598,759,F,psg,phi4,ea05_pysg,NP,7.3,phi4_psg_NP
90f0dc15,phi4_85a9_psg,success,14.31,2259,1598,661,F,psg,phi4,90f0_pysg,NP,7.3,phi4_psg_NP
1c24c385,phi4_85a9_psg,success,48.52,7935,5694,2241,F,psg,phi4,1c24_pysg,NP,7.3,phi4_psg_NP
8b6587cd,phi4_85a9_psg,failure,84.02,13673,9790,3883,F,psg,phi4,8b65_pysg,NP,7.3,phi4_psg_NP
12129c51,phi4_85a9_psg,failure,83.66,13672,9790,3882,F,psg,phi4,1212_pysg,NP,7.3,phi4_psg_NP
5074eec8,phi4_85a9_psg,success,76.12,13278,9790,3488,F,psg,phi4,5074_pysg,NP,7.3,phi4_psg_NP
