name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
ffaf_py_sketch_generator,ffaf7a8f,phi4_466a_psg_batch,failure,325.37,16356,11968,4388,0.0,0,0,F,psg,phi4,5
2d1c_py_sketch_generator,2d1ce818,phi4_466a_psg_batch,success,148.49,6200,4209,1991,0.0,0,0,F,psg,phi4,2
1094_py_sketch_generator,10942a9e,phi4_466a_psg_batch,success,69.98,2451,1488,963,0.0,0,0,F,psg,phi4,1
9bab_py_sketch_generator,9bab2f5b,phi4_466a_psg_batch,success,63.93,2396,1488,908,0.0,0,0,F,psg,phi4,1
07c0_py_sketch_generator,07c04f01,phi4_466a_psg_batch,success,315.89,15646,11332,4314,0.0,0,0,F,psg,phi4,5
8f8f_py_sketch_generator,8f8f9957,phi4_466a_psg_batch,failure,320.66,15965,11629,4336,0.0,0,0,F,psg,phi4,5
2718_py_sketch_generator,2718d411,phi4_466a_psg_batch,success,46.9,2121,1488,633,0.0,0,0,F,psg,phi4,1
850c_py_sketch_generator,850c3b8a,phi4_466a_psg_batch,success,59.86,2340,1488,852,0.0,0,0,F,psg,phi4,1
7836_py_sketch_generator,7836985f,phi4_466a_psg_batch,success,57.2,2301,1488,813,0.0,0,0,F,psg,phi4,1
0902_py_sketch_generator,0902146c,phi4_466a_psg_batch,success,56.54,2294,1488,806,0.0,0,0,F,psg,phi4,1
9f59_py_sketch_generator,9f5914ba,phi4_466a_psg_batch,success,53.59,2250,1488,762,0.0,0,0,F,psg,phi4,1
b099_sketch_generator,b0993c7a,phi4_466a_sg_batch,failure,414.32,22137,16798,5339,0.0,0,0,F,sg,phi4,6
eadb_sketch_generator,eadbcb26,phi4_466a_sg_batch,failure,450.82,21930,16070,5860,0.0,0,0,F,sg,phi4,6
419a_sketch_generator,419ad486,phi4_466a_sg_batch,failure,417.38,23264,17937,5327,0.0,0,0,F,sg,phi4,6
8c0f_sketch_generator,8c0fec17,phi4_466a_sg_batch,failure,351.56,21299,16856,4443,0.0,0,0,F,sg,phi4,6
e389_sketch_generator,e38914c7,phi4_466a_sg_batch,failure,421.21,22396,16984,5412,0.0,0,0,F,sg,phi4,6
8dcf_sketch_generator,8dcfe1f8,phi4_466a_sg_batch,failure,454.85,24163,18346,5817,0.0,0,0,F,sg,phi4,6
e6c8_sketch_generator,e6c82749,phi4_466a_sg_batch,failure,376.77,21275,16450,4825,0.0,0,0,F,sg,phi4,6
5ca1_sketch_generator,5ca18d06,phi4_466a_sg_batch,failure,464.96,25034,19109,5925,0.0,0,0,F,sg,phi4,6
e034_sketch_generator,e03470c8,phi4_466a_sg_batch,failure,457.25,24452,18615,5837,0.0,0,0,F,sg,phi4,6
39ad_sketch_generator,39ada52e,phi4_466a_sg_batch,failure,404.94,23885,18781,5104,0.0,0,0,F,sg,phi4,6
8462_sketch_generator,84621685,phi4_466a_sg_batch,failure,417.02,23259,17943,5316,0.0,0,0,F,sg,phi4,6
eb98_sketch_generator,eb98a683,phi4_466a_sg_batch,failure,416.0,23418,18130,5288,0.0,0,0,F,sg,phi4,6
ab6f_sketch_generator,ab6fcc2f,phi4_466a_sg_batch,failure,430.26,23450,17954,5496,0.0,0,0,F,sg,phi4,6
9c8a_sketch_generator,9c8addca,phi4_466a_sg_batch,failure,498.58,24577,18140,6437,0.0,0,0,F,sg,phi4,6
37af_sketch_generator,37af3df7,phi4_466a_sg_batch,failure,404.91,23173,18030,5143,0.0,0,0,F,sg,phi4,6
33b4_sketch_generator,33b47c68,phi4_466a_sg_batch,failure,371.42,22943,18275,4668,0.0,0,0,F,sg,phi4,6
fa71_sketch_generator,fa712baf,phi4_466a_sg_batch,failure,389.18,21792,16844,4948,0.0,0,0,F,sg,phi4,6
0a5c_sketch_generator,0a5c64f6,phi4_466a_sg_batch,failure,305.43,20092,16264,3828,0.0,0,0,F,sg,phi4,6
2c1b_sketch_generator,2c1b38a7,phi4_466a_sg_batch,failure,487.56,25035,18786,6249,0.0,0,0,F,sg,phi4,6
7f51_sketch_generator,7f516497,phi4_466a_sg_batch,failure,479.02,25534,19419,6115,0.0,0,0,F,sg,phi4,6
57a5_sketch_generator,57a5f515,phi4_466a_sg_batch,failure,463.9,24056,18105,5951,0.0,0,0,F,sg,phi4,6
b9f7_sketch_generator,b9f77401,phi4_466a_sg_batch,failure,464.08,24945,19032,5913,0.0,0,0,F,sg,phi4,6
6c77_sketch_generator,6c77d9a2,phi4_466a_sg_batch,failure,468.88,24370,18360,6010,0.0,0,0,F,sg,phi4,6
a4e6_sketch_generator,a4e626f9,phi4_466a_sg_batch,failure,383.62,21583,16685,4898,0.0,0,0,F,sg,phi4,6
3286_sketch_generator,328663e4,phi4_466a_sg_batch,failure,467.02,25348,19399,5949,0.0,0,0,F,sg,phi4,6
24f2_sketch_generator,24f24a77,phi4_466a_sg_batch,failure,436.56,24783,19253,5530,0.0,0,0,F,sg,phi4,6
9dcf_sketch_generator,9dcff9ad,phi4_466a_sg_batch,failure,339.04,20671,16373,4298,0.0,0,0,F,sg,phi4,6
c63b_sketch_generator,c63bcffd,phi4_466a_sg_batch,failure,453.78,25157,19385,5772,0.0,0,0,F,sg,phi4,6
ebe3_sketch_generator,ebe30651,phi4_466a_sg_batch,failure,403.79,22768,17627,5141,0.0,0,0,F,sg,phi4,6
6407_sketch_generator,6407ca17,phi4_466a_sg_batch,failure,506.8,24868,18327,6541,0.0,0,0,F,sg,phi4,6
1cb5_data_processor,1cb5728c,phi4_466a_dp_batch,success,191.91,14883,12379,2504,0.0,0,0,F,dp,phi4,10
32fa_data_processor,32fafecb,phi4_466a_dp_batch,failure,171.67,13321,11088,2233,0.0,0,0,F,dp,phi4,8
62da_data_processor,62da8486,phi4_466a_dp_batch,success,208.01,14824,12073,2751,0.0,0,0,F,dp,phi4,10
a2a2_data_processor,a2a2a619,phi4_466a_dp_batch,success,169.26,12782,10553,2229,0.0,0,0,F,dp,phi4,9
a30e_data_processor,a30e395b,phi4_466a_dp_batch,success,325.67,21156,16837,4319,0.0,0,0,F,dp,phi4,12
ad9f_data_processor,ad9fcc17,phi4_466a_dp_batch,success,298.62,18723,14741,3982,0.0,0,0,F,dp,phi4,11
e23f_data_processor,e23f9dca,phi4_466a_dp_batch,failure,406.84,26135,20732,5403,0.0,0,0,F,dp,phi4,14
6ad4_data_processor,6ad4f807,phi4_466a_dp_batch,failure,285.63,19447,15736,3711,0.0,0,0,F,dp,phi4,10
53aa_data_processor,53aa5ed7,phi4_466a_dp_batch,success,175.58,12785,10471,2314,0.0,0,0,F,dp,phi4,9
5c0b_data_processor,5c0bac02,phi4_466a_dp_batch,success,202.8,15488,12838,2650,0.0,0,0,F,dp,phi4,10
12a1_data_processor,12a13305,phi4_466a_dp_batch,success,173.45,15108,12880,2228,0.0,0,0,F,dp,phi4,10
c053_data_processor,c053a9d6,phi4_466a_dp_batch,failure,475.4,31046,24746,6300,0.0,0,0,F,dp,phi4,16
b541_data_processor,b541d266,phi4_466a_dp_batch,success,205.0,13231,10489,2742,0.0,0,0,F,dp,phi4,9
c0c9_data_processor,c0c97dce,phi4_466a_dp_batch,failure,204.29,13063,10375,2688,0.0,0,0,F,dp,phi4,7
aa84_data_processor,aa84c393,phi4_466a_dp_batch,failure,272.06,16804,13192,3612,0.0,0,0,F,dp,phi4,9
f334_data_processor,f334d6c7,phi4_466a_dp_batch,success,159.09,12588,10506,2082,0.0,0,0,F,dp,phi4,9
9c6e_data_processor,9c6e29a7,phi4_466a_dp_batch,success,185.32,13026,10567,2459,0.0,0,0,F,dp,phi4,9
4ab6_data_processor,4ab677ae,phi4_466a_dp_batch,success,157.04,12634,10584,2050,0.0,0,0,F,dp,phi4,9
0126_data_processor,0126dd0a,phi4_466a_dp_batch,success,178.87,12967,10603,2364,0.0,0,0,F,dp,phi4,9
212f_data_processor,212fbfc1,phi4_466a_dp_batch,success,183.31,14837,12455,2382,0.0,0,0,F,dp,phi4,10
3096_data_processor,30963b33,phi4_466a_dp_batch,success,278.02,20435,16796,3639,0.0,0,0,F,dp,phi4,12
da61_data_processor,da6183fc,phi4_466a_dp_batch,success,258.27,15940,12481,3459,0.0,0,0,F,dp,phi4,10
48e5_data_processor,48e5a780,phi4_466a_dp_batch,success,228.02,15237,12201,3036,0.0,0,0,F,dp,phi4,10
4ad5_data_processor,4ad57f6f,phi4_466a_dp_batch,success,208.55,15560,12824,2736,0.0,0,0,F,dp,phi4,10
7864_data_processor,78640922,phi4_466a_dp_batch,success,215.35,13370,10475,2895,0.0,0,0,F,dp,phi4,9
d169_data_processor,d169b817,phi4_466a_dp_batch,success,199.91,13222,10557,2665,0.0,0,0,F,dp,phi4,9
2b2b_data_processor,2b2b9f3a,phi4_466a_dp_batch,success,186.54,14446,12011,2435,0.0,0,0,F,dp,phi4,10
ea44_data_processor,ea44c05f,phi4_466a_dp_batch,failure,229.89,14329,11270,3059,0.0,0,0,F,dp,phi4,8
d144_data_processor,d144442c,phi4_466a_dp_batch,success,198.17,13090,10446,2644,0.0,0,0,F,dp,phi4,9
6aef_data_processor,6aefb2fe,phi4_466a_dp_batch,failure,313.55,22014,17876,4138,0.0,0,0,F,dp,phi4,13
54a7_tpu_sketch_generator,54a715a6,phi4_4792_tpusg_batch,success,73.98,2658,1751,907,0.0,0,0,F,tpusg,phi4,1
f572_tpu_sketch_generator,f57233b2,phi4_4792_tpusg_batch,success,129.68,6287,4535,1752,0.0,0,0,F,tpusg,phi4,2
9447_tpu_sketch_generator,944774b8,phi4_4792_tpusg_batch,success,65.66,2644,1751,893,0.0,0,0,F,tpusg,phi4,1
c08b_tpu_sketch_generator,c08b145f,phi4_4792_tpusg_batch,success,65.64,2681,1751,930,0.0,0,0,F,tpusg,phi4,1
3f8e_tpu_sketch_generator,3f8ec54f,phi4_4792_tpusg_batch,success,137.35,6425,4565,1860,0.0,0,0,F,tpusg,phi4,2
0868_tpu_sketch_generator,08682d83,phi4_4792_tpusg_batch,success,65.02,2633,1751,882,0.0,0,0,F,tpusg,phi4,1
b634_tpu_sketch_generator,b634d4ad,phi4_4792_tpusg_batch,success,120.47,6131,4506,1625,0.0,0,0,F,tpusg,phi4,2
49ce_tpu_sketch_generator,49ce01c4,phi4_4792_tpusg_batch,success,67.36,2667,1751,916,0.0,0,0,F,tpusg,phi4,1
2863_tpu_sketch_generator,2863e961,phi4_4792_tpusg_batch,success,58.42,2577,1751,826,0.0,0,0,F,tpusg,phi4,1
890d_tpu_sketch_generator,890da28d,phi4_4792_tpusg_batch,success,61.1,2616,1751,865,0.0,0,0,F,tpusg,phi4,1
ea88_tpu_sketch_generator,ea88a418,phi4_4792_tpusg_batch,success,56.2,2546,1751,795,0.0,0,0,F,tpusg,phi4,1
4000_tpu_sketch_generator,4000eadd,phi4_4792_tpusg_batch,success,146.54,6594,4612,1982,0.0,0,0,F,tpusg,phi4,2
51ab_tpu_sketch_generator,51ab2739,phi4_4792_tpusg_batch,success,68.81,2688,1751,937,0.0,0,0,F,tpusg,phi4,1
eb14_tpu_sketch_generator,eb14b1de,phi4_4792_tpusg_batch,success,65.5,2679,1751,928,0.0,0,0,F,tpusg,phi4,1
b7e6_tpu_sketch_generator,b7e6a19a,phi4_4792_tpusg_batch,success,64.64,2665,1751,914,0.0,0,0,F,tpusg,phi4,1
1e90_tpu_sketch_generator,1e9090fb,phi4_4792_tpusg_batch,success,62.01,2628,1751,877,0.0,0,0,F,tpusg,phi4,1
903d_tpu_sketch_generator,903d0298,phi4_4792_tpusg_batch,success,153.87,6678,4587,2091,0.0,0,0,F,tpusg,phi4,2
5c6c_tpu_sketch_generator,5c6c2784,phi4_4792_tpusg_batch,success,68.27,2680,1751,929,0.0,0,0,F,tpusg,phi4,1
1ba8_tpu_sketch_generator,1ba8c18b,phi4_4792_tpusg_batch,success,64.63,2666,1751,915,0.0,0,0,F,tpusg,phi4,1
719a_tpu_sketch_generator,719a4c09,phi4_4792_tpusg_batch,success,142.67,6534,4604,1930,0.0,0,0,F,tpusg,phi4,2
4914_tpu_sketch_generator,4914e003,phi4_4792_tpusg_batch,success,64.29,2623,1751,872,0.0,0,0,F,tpusg,phi4,1
61d1_tpu_sketch_generator,61d1dda2,phi4_4792_tpusg_batch,failure,377.55,18530,13427,5103,0.0,0,0,F,tpusg,phi4,5
a5c2_tpu_sketch_generator,a5c22a4f,phi4_4792_tpusg_batch,success,65.24,2637,1751,886,0.0,0,0,F,tpusg,phi4,1
