metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,tpusg,PySG-TPU,phi4,Phi4,abla-l2,Prompt L2,success,27,12.52,24.695,36.81,50.125,70.49,38.445925925925934,25.43,12.52,70.49,0
latency,tpusg,PySG-TPU,phi4,Phi4,abla-l2,Prompt L2,failure,3,61.46,61.74,62.02,62.41,62.8,62.093333333333334,0.6699999999999946,61.46,62.8,0
latency,tpusg,PySG-TPU,phi4,Phi4,original,Prompt Original,success,30,16.08,19.735,21.869999999999997,42.15,97.05,32.17466666666666,22.415,16.08,66.82,1
latency,tpusg,PySG-TPU,qwen32,Qw32B,abla-l1,Prompt L1,success,24,22.89,55.120000000000005,78.63,115.0975,174.68,82.91208333333334,59.97749999999999,22.89,174.68,0
latency,tpusg,PySG-TPU,qwen32,Qw32B,abla-l1,Prompt L1,failure,6,122.27,130.2375,146.625,156.1875,163.98,143.9416666666667,25.94999999999999,122.27,163.98,0
latency,tpusg,PySG-TPU,qwen32,Qw32B,abla-l2,Prompt L2,success,18,25.65,48.4075,71.58,75.0125,123.82,67.02333333333333,26.605000000000004,25.65,107.32,1
latency,tpusg,PySG-TPU,qwen32,Qw32B,abla-l2,Prompt L2,failure,12,117.53,125.415,128.27,133.21499999999997,142.21,128.9358333333333,7.799999999999969,117.53,142.21,0
latency,tpusg,PySG-TPU,qwen32,Qw32B,original,Prompt Original,success,30,23.42,23.8975,25.5,56.485,142.17,45.913,32.5875,23.42,90.05,2
total_tokens,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,success,3,14036.0,15310.0,16584.0,20333.0,24082.0,18234.0,5023.0,14036.0,24082.0,0
total_tokens,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,failure,27,24893.0,27318.0,29058.0,30278.5,34881.0,29111.59259259259,2960.5,24893.0,34702.0,1
total_tokens,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,success,21,16140.0,18727.0,20704.0,32232.0,44921.0,25408.904761904763,13505.0,16140.0,44921.0,0
total_tokens,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,failure,9,36489.0,39266.0,42514.0,45579.0,48995.0,42689.444444444445,6313.0,36489.0,48995.0,0
total_tokens,sg,ArdSG,gpt-5,G5,original,Prompt Original,success,30,11487.0,19238.75,20309.5,24064.0,33629.0,21389.6,4825.25,12239.0,27772.0,2
total_tokens,sg,ArdSG,phi4,Phi4,abla-l1,Prompt L1,failure,30,5925.0,6354.5,6556.0,6673.5,7293.0,6522.2,319.0,5925.0,6904.0,3
total_tokens,sg,ArdSG,phi4,Phi4,abla-l2,Prompt L2,failure,11,10732.0,12486.0,13525.0,13961.5,15209.0,13105.818181818182,1475.5,10732.0,15209.0,0
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-l1,Prompt L1,failure,30,6341.0,6607.5,6809.0,7030.5,7799.0,6847.166666666667,423.0,6341.0,7433.0,1
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-l2,Prompt L2,failure,20,13621.0,15391.75,15949.5,16583.75,17877.0,15897.15,1192.0,13621.0,17877.0,0
total_tokens,psg,PySG-CPU,gpt-5,G5,abla-l1,Prompt L1,success,30,4067.0,4447.25,5044.5,5514.25,6205.0,4990.133333333333,1067.0,4067.0,6205.0,0
total_tokens,psg,PySG-CPU,gpt-5,G5,abla-l2,Prompt L2,success,30,5571.0,6888.75,8347.0,9290.75,14587.0,8457.666666666666,2402.0,5571.0,11876.0,2
total_tokens,psg,PySG-CPU,gpt-5,G5,original,Prompt Original,success,29,7429.0,8900.0,10022.0,11106.0,21150.0,10262.620689655172,2206.0,7429.0,12546.0,1
total_tokens,psg,PySG-CPU,gpt-5,G5,original,Prompt Original,failure,1,65422.0,65422.0,65422.0,65422.0,65422.0,65422.0,0.0,65422.0,65422.0,0
total_tokens,psg,PySG-CPU,phi4,Phi4,abla-l1,Prompt L1,success,15,829.0,2367.0,2784.0,3319.0,4519.0,2860.133333333333,952.0,1733.0,4519.0,1
total_tokens,psg,PySG-CPU,phi4,Phi4,abla-l1,Prompt L1,failure,15,3927.0,4222.5,4395.0,4445.5,4847.0,4366.933333333333,223.0,3927.0,4599.0,1
total_tokens,psg,PySG-CPU,phi4,Phi4,abla-l2,Prompt L2,success,28,1160.0,2529.5,2818.5,4256.0,6118.0,3209.6071428571427,1726.5,1160.0,6118.0,0
total_tokens,psg,PySG-CPU,phi4,Phi4,abla-l2,Prompt L2,failure,2,7366.0,7432.5,7499.0,7565.5,7632.0,7499.0,133.0,7366.0,7632.0,0
total_tokens,psg,PySG-CPU,phi4,Phi4,original,Prompt Original,success,18,2233.0,2360.5,8429.5,11277.75,14073.0,7961.0,8917.25,2233.0,14073.0,0
total_tokens,psg,PySG-CPU,phi4,Phi4,original,Prompt Original,failure,12,13466.0,13672.75,13797.5,14112.75,14467.0,13913.666666666666,440.0,13466.0,14467.0,0
