metric,Model,Prompt_level,Processor,count,mean,median,std,min,Q1,Q3,max,IQR,lower_whisker,upper_whisker,outlier_count
Recall,phi4,abla-l1,tpusg,12,0.836764,0.834776,0.009151,0.823729,0.830480,0.843609,0.855451,0.013128,0.823729,0.855451,0
Recall,phi4,abla-l2,psg,28,0.838802,0.839668,0.010992,0.800779,0.835447,0.842942,0.861750,0.007495,0.824204,0.854185,3
Recall,phi4,abla-l2,tpusg,27,0.842863,0.845268,0.009110,0.820932,0.839469,0.848254,0.856539,0.008785,0.826292,0.856539,2
Recall,phi4,original,psg,18,0.780503,0.818795,0.105265,0.485971,0.788742,0.830735,0.853338,0.041993,0.725752,0.853338,2
Recall,phi4,original,tpusg,30,0.845384,0.843187,0.009178,0.824795,0.839517,0.852561,0.862063,0.013045,0.824795,0.862063,0
Recall,qw32,abla-1p,psg,12,0.841892,0.841610,0.000568,0.841610,0.841610,0.841722,0.843078,0.000112,0.841610,0.841889,3
Recall,qw32,abla-2p,psg,30,0.841983,0.843752,0.005468,0.835382,0.836508,0.847215,0.848228,0.010706,0.835382,0.848228,0
Recall,qw32,abla-2p,tpusg,30,0.836444,0.837557,0.001828,0.833081,0.834713,0.837557,0.838709,0.002844,0.833081,0.838709,0
Recall,qw32,abla-l1,psg,24,0.844889,0.846342,0.007657,0.826940,0.840853,0.849550,0.859540,0.008697,0.827807,0.859540,1
Recall,qw32,abla-l1,tpusg,24,0.821173,0.819905,0.014296,0.802363,0.807892,0.834722,0.847429,0.026829,0.802363,0.847429,0
Recall,qw32,abla-l2,psg,25,0.845823,0.846457,0.006787,0.831027,0.844130,0.850569,0.857427,0.006438,0.834473,0.857427,3
Recall,qw32,abla-l2,tpusg,18,0.838594,0.839330,0.005034,0.828930,0.835342,0.842024,0.848294,0.006683,0.828930,0.848294,0
Recall,qw32,original,psg,18,0.828187,0.829179,0.013909,0.798069,0.821169,0.835450,0.847180,0.014281,0.799747,0.847180,2
Recall,qw32,original,tpusg,30,0.834944,0.834826,0.007832,0.815665,0.828918,0.840749,0.850989,0.011830,0.815665,0.850989,0
F1,gpt5,abla-l1,psg,30,0.842550,0.842820,0.004788,0.833812,0.838737,0.845130,0.852974,0.006393,0.833812,0.852974,0
F1,gpt5,abla-l1,sg,3,0.846958,0.849897,0.006179,0.839858,0.844877,0.850508,0.851118,0.005630,0.839858,0.851118,0
F1,gpt5,abla-l1,tpusg,30,0.836826,0.838725,0.007452,0.821805,0.829986,0.841869,0.849530,0.011882,0.821805,0.849530,0
F1,gpt5,abla-l2,psg,30,0.830531,0.830806,0.007165,0.819056,0.825083,0.834880,0.843824,0.009797,0.819056,0.843824,0
F1,gpt5,abla-l2,sg,21,0.840379,0.841062,0.007466,0.827001,0.834171,0.843285,0.857133,0.009115,0.827001,0.856958,1
F1,gpt5,abla-l2,tpusg,30,0.837412,0.836432,0.007283,0.822984,0.831818,0.841733,0.851686,0.009915,0.822984,0.851686,0
F1,gpt5,original,psg,29,0.826552,0.826654,0.004469,0.819426,0.823393,0.829045,0.835022,0.005652,0.819426,0.835022,0
F1,gpt5,original,sg,30,0.850397,0.850387,0.004466,0.841328,0.847470,0.852943,0.861659,0.005472,0.841328,0.861151,1
F1,gpt5,original,tpusg,27,0.841154,0.840992,0.005188,0.828340,0.837818,0.845141,0.849622,0.007323,0.828340,0.849622,0
F1,phi4,abla-2p,psg,17,0.871282,0.871266,0.001854,0.868884,0.870392,0.871630,0.875488,0.001238,0.868884,0.873487,2
F1,phi4,abla-2p,tpusg,48,0.877489,0.878226,0.004602,0.861854,0.877428,0.879856,0.884729,0.002428,0.873785,0.883498,10
F1,phi4,abla-l1,psg,15,0.861701,0.860918,0.012011,0.837942,0.856019,0.870949,0.876561,0.014929,0.837942,0.876561,0
F1,phi4,abla-l1,tpusg,12,0.871235,0.870452,0.006261,0.861572,0.867742,0.874215,0.885342,0.006473,0.861572,0.883925,1
F1,phi4,abla-l2,psg,28,0.868634,0.870679,0.009947,0.832186,0.863860,0.873992,0.884647,0.010131,0.848663,0.884647,1
F1,phi4,abla-l2,tpusg,27,0.869664,0.870598,0.008158,0.853044,0.867751,0.874620,0.882954,0.006869,0.857447,0.882954,3
F1,phi4,original,psg,18,0.822144,0.847561,0.076629,0.615672,0.824086,0.861532,0.880539,0.037446,0.767917,0.880539,2
F1,phi4,original,tpusg,30,0.869025,0.868509,0.007957,0.847821,0.863262,0.874050,0.883387,0.010788,0.847821,0.883387,0
F1,qw32,abla-1p,psg,12,0.866088,0.866138,0.000162,0.865756,0.866138,0.866138,0.866300,0.000000,0.866138,0.866138,3
F1,qw32,abla-2p,psg,30,0.872649,0.875381,0.005456,0.865871,0.866835,0.877617,0.878866,0.010782,0.865871,0.878866,0
F1,qw32,abla-2p,tpusg,30,0.863560,0.863229,0.000901,0.862800,0.862800,0.864173,0.866064,0.001373,0.862800,0.866064,0
F1,qw32,abla-l1,psg,24,0.875251,0.874733,0.005888,0.861939,0.872692,0.877867,0.889104,0.005175,0.864929,0.885630,2
F1,qw32,abla-l1,tpusg,24,0.853119,0.849665,0.013362,0.837234,0.840825,0.866405,0.873329,0.025580,0.837234,0.873329,0
F1,qw32,abla-l2,psg,25,0.872276,0.873295,0.005833,0.862289,0.869205,0.874910,0.886006,0.005705,0.862289,0.883468,2
F1,qw32,abla-l2,tpusg,18,0.864492,0.864606,0.003785,0.858507,0.861868,0.867455,0.870305,0.005588,0.858507,0.870305,0
F1,qw32,original,psg,18,0.858439,0.861494,0.009487,0.833282,0.858215,0.864545,0.867286,0.006330,0.848720,0.867286,3
F1,qw32,original,tpusg,30,0.864707,0.864468,0.006738,0.848805,0.859880,0.869572,0.877104,0.009691,0.848805,0.877104,0
F3,gpt5,abla-l1,psg,30,0.855914,0.856683,0.004202,0.848530,0.853506,0.858243,0.863312,0.004737,0.848530,0.863312,0
F3,gpt5,abla-l1,sg,3,0.859926,0.860232,0.001536,0.858259,0.859246,0.860759,0.861285,0.001513,0.858259,0.861285,0
F3,gpt5,abla-l1,tpusg,30,0.859062,0.858646,0.004400,0.851469,0.856535,0.860217,0.870562,0.003682,0.851469,0.865739,3
F3,gpt5,abla-l2,psg,30,0.858041,0.857619,0.005211,0.846092,0.854898,0.861354,0.868315,0.006456,0.846092,0.868315,0
F3,gpt5,abla-l2,sg,21,0.857500,0.859010,0.007672,0.840550,0.851881,0.860012,0.871414,0.008131,0.840550,0.871414,0
F3,gpt5,abla-l2,tpusg,30,0.860080,0.860641,0.004971,0.847256,0.857403,0.863351,0.867917,0.005949,0.848480,0.867917,1
F3,gpt5,original,psg,29,0.860568,0.861052,0.004130,0.850151,0.857188,0.863803,0.867118,0.006615,0.850151,0.867118,0
F3,gpt5,original,sg,30,0.865538,0.865438,0.003354,0.858449,0.863444,0.868141,0.872429,0.004698,0.858449,0.872429,0
F3,gpt5,original,tpusg,27,0.865843,0.864842,0.003458,0.858721,0.864133,0.868925,0.872458,0.004792,0.858721,0.872458,0
F3,phi4,abla-2p,psg,17,0.853704,0.853192,0.001635,0.852145,0.852601,0.853815,0.857243,0.001215,0.852145,0.855637,2
F3,phi4,abla-2p,tpusg,48,0.854916,0.854310,0.004569,0.841051,0.853482,0.858837,0.861799,0.005355,0.845450,0.861799,2
F3,phi4,abla-l1,psg,15,0.836030,0.841079,0.013969,0.809711,0.828179,0.843194,0.857817,0.015015,0.809711,0.857817,0
F3,phi4,abla-l1,tpusg,12,0.843435,0.841343,0.008494,0.831476,0.837214,0.849557,0.861266,0.012343,0.831476,0.861266,0
F3,phi4,abla-l2,psg,28,0.844600,0.845139,0.010674,0.806869,0.841263,0.849031,0.866056,0.007768,0.829612,0.860683,3
F3,phi4,abla-l2,tpusg,27,0.848088,0.850410,0.008820,0.827178,0.845300,0.853443,0.860255,0.008142,0.833087,0.860255,3
F3,phi4,original,psg,18,0.788211,0.823637,0.100676,0.507347,0.795001,0.836674,0.858643,0.041673,0.732492,0.858643,2
F3,phi4,original,tpusg,30,0.850001,0.847994,0.008589,0.832132,0.843201,0.856567,0.866245,0.013367,0.832132,0.866245,0
F3,qw32,abla-1p,psg,12,0.846622,0.846404,0.000433,0.846404,0.846404,0.846502,0.847518,0.000098,0.846404,0.846649,3
F3,qw32,abla-2p,psg,30,0.847942,0.849929,0.005441,0.841307,0.842403,0.853237,0.854172,0.010835,0.841307,0.854172,0
F3,qw32,abla-2p,tpusg,30,0.841729,0.842487,0.001440,0.839038,0.840457,0.842487,0.844024,0.002030,0.839038,0.844024,0
F3,qw32,abla-l1,psg,24,0.850789,0.852447,0.007216,0.833711,0.847060,0.855157,0.865294,0.008097,0.834915,0.865294,1
F3,qw32,abla-l1,tpusg,24,0.827368,0.826149,0.014078,0.809103,0.814347,0.840872,0.852249,0.026525,0.809103,0.852249,0
F3,qw32,abla-l2,psg,25,0.850981,0.851553,0.006373,0.837432,0.849249,0.855871,0.862994,0.006622,0.839316,0.862994,2
F3,qw32,abla-l2,tpusg,18,0.843645,0.844187,0.004402,0.834861,0.840837,0.846436,0.851826,0.005599,0.834861,0.851826,0
F3,qw32,original,psg,18,0.834053,0.836063,0.012788,0.805648,0.828862,0.841153,0.850159,0.012290,0.810427,0.850159,2
F3,qw32,original,tpusg,30,0.840730,0.840503,0.007598,0.822085,0.835029,0.846189,0.856087,0.011160,0.822085,0.856087,0
