name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,prompt_type
14d6_sg,14d64084,phi4_29a1_sg_batch,failure,63.65,10481,5884,4597,0.0,0,0,T,sg,phi4,abla-2p
eb92_sg,eb92bb55,phi4_29a1_sg_batch,failure,58.86,10127,5884,4243,0.0,0,0,T,sg,phi4,abla-2p
5993_sg,59938ec2,phi4_29a1_sg_batch,failure,64.16,10514,5884,4630,0.0,0,0,T,sg,phi4,abla-2p
76ad_tpusg,76ad1565,phi4_29a1_tpusg_batch,success,34.37,4256,1686,2570,0.0,0,0,T,tpusg,phi4,abla-2p
cb21_tpusg,cb217186,phi4_29a1_tpusg_batch,success,56.86,7162,2894,4268,0.0,0,0,T,tpusg,phi4,abla-2p
6a4b_tpusg,6a4b7770,phi4_29a1_tpusg_batch,success,55.33,7025,2901,4124,0.0,0,0,T,tpusg,phi4,abla-2p
3434_tpusg,34343985,phi4_29a1_tpusg_batch,success,57.66,7198,2867,4331,0.0,0,0,T,tpusg,phi4,abla-2p
3769_tpusg,37693021,phi4_29a1_tpusg_batch,success,55.65,7054,2870,4184,0.0,0,0,T,tpusg,phi4,abla-2p
f58a_tpusg,f58ac416,phi4_29a1_tpusg_batch,success,56.38,7104,2867,4237,0.0,0,0,T,tpusg,phi4,abla-2p
f0c3_tpusg,f0c3b28d,phi4_29a1_tpusg_batch,success,34.63,4252,1651,2601,0.0,0,0,T,tpusg,phi4,abla-2p
7288_tpusg,728819c8,phi4_29a1_tpusg_batch,success,56.09,7069,2866,4203,0.0,0,0,T,tpusg,phi4,abla-2p
d131_tpusg,d131bc07,phi4_29a1_tpusg_batch,failure,55.88,7063,2866,4197,0.0,0,0,T,tpusg,phi4,abla-2p
3623_tpusg,362366cb,phi4_29a1_tpusg_batch,success,55.29,7024,2869,4155,0.0,0,0,T,tpusg,phi4,abla-2p
cbd9_tpusg,cbd90c04,phi4_29a1_tpusg_batch,failure,57.24,7170,2868,4302,0.0,0,0,T,tpusg,phi4,abla-2p
13c7_tpusg,13c73670,phi4_29a1_tpusg_batch,success,56.78,7135,2868,4267,0.0,0,0,T,tpusg,phi4,abla-2p
226b_tpusg,226b25f9,phi4_29a1_tpusg_batch,success,56.24,7096,2865,4231,0.0,0,0,T,tpusg,phi4,abla-2p
3a73_tpusg,3a737222,phi4_29a1_tpusg_batch,success,21.61,2635,1022,1613,0.0,0,0,T,tpusg,phi4,abla-2p
7d39_tpusg,7d390e85,phi4_29a1_tpusg_batch,success,34.54,4241,1649,2592,0.0,0,0,T,tpusg,phi4,abla-2p
ef5a_tpusg,ef5a7669,phi4_29a1_tpusg_batch,success,55.33,7031,2872,4159,0.0,0,0,T,tpusg,phi4,abla-2p
decb_tpusg,decb317c,phi4_29a1_tpusg_batch,success,57.45,7189,2868,4321,0.0,0,0,T,tpusg,phi4,abla-2p
963c_tpusg,963cd59d,phi4_29a1_tpusg_batch,success,55.77,7059,2864,4195,0.0,0,0,T,tpusg,phi4,abla-2p
a6ef_tpusg,a6ef0b6e,phi4_29a1_tpusg_batch,success,34.61,4248,1646,2602,0.0,0,0,T,tpusg,phi4,abla-2p
ee0e_tpusg,ee0e41ac,phi4_29a1_tpusg_batch,failure,58.18,7262,2892,4370,0.0,0,0,T,tpusg,phi4,abla-2p
299f_tpusg,299fcb93,phi4_29a1_tpusg_batch,success,55.69,7051,2863,4188,0.0,0,0,T,tpusg,phi4,abla-2p
ba8b_tpusg,ba8b8534,phi4_29a1_tpusg_batch,success,58.12,7262,2894,4368,0.0,0,0,T,tpusg,phi4,abla-2p
1139_tpusg,1139f111,phi4_29a1_tpusg_batch,success,35.02,4260,1651,2609,0.0,0,0,T,tpusg,phi4,abla-2p
8bbe_tpusg,8bbe347b,phi4_29a1_tpusg_batch,success,21.41,2630,1023,1607,0.0,0,0,T,tpusg,phi4,abla-2p
5be2_tpusg,5be284c3,phi4_29a1_tpusg_batch,failure,57.47,7167,2863,4304,0.0,0,0,T,tpusg,phi4,abla-2p
09e5_tpusg,09e56857,phi4_29a1_tpusg_batch,success,55.68,7055,2870,4185,0.0,0,0,T,tpusg,phi4,abla-2p
6e19_tpusg,6e19e897,phi4_29a1_tpusg_batch,success,57.47,7191,2870,4321,0.0,0,0,T,tpusg,phi4,abla-2p
3de6_tpusg,3de67a40,phi4_29a1_tpusg_batch,success,34.67,4249,1645,2604,0.0,0,0,T,tpusg,phi4,abla-2p
921c_tpusg,921cb5be,phi4_29a1_tpusg_batch,failure,57.33,7167,2862,4305,0.0,0,0,T,tpusg,phi4,abla-2p
1cb7_tpusg,1cb7a485,phi4_29a1_tpusg_batch,failure,57.69,7203,2865,4338,0.0,0,0,T,tpusg,phi4,abla-2p
a614_psg,a614ab9b,qwen2.5-coder:32b_12d3_psg_batch,success,60.88,2765,1124,1641,0.0,0,0,T,psg,qwen32,abla-2p
dab0_psg,dab0bdb5,qwen2.5-coder:32b_12d3_psg_batch,success,43.99,2764,1124,1640,0.0,0,0,T,psg,qwen32,abla-2p
3ee7_psg,3ee785c0,qwen2.5-coder:32b_12d3_psg_batch,success,45.56,2823,1124,1699,0.0,0,0,T,psg,qwen32,abla-2p
3454_psg,34545c83,qwen2.5-coder:32b_12d3_psg_batch,success,44.83,2796,1124,1672,0.0,0,0,T,psg,qwen32,abla-2p
58b2_psg,58b21c9a,qwen2.5-coder:32b_12d3_psg_batch,success,44.66,2790,1124,1666,0.0,0,0,T,psg,qwen32,abla-2p
080c_psg,080c538d,qwen2.5-coder:32b_12d3_psg_batch,success,44.28,2774,1124,1650,0.0,0,0,T,psg,qwen32,abla-2p
9b2f_psg,9b2f20b6,qwen2.5-coder:32b_12d3_psg_batch,success,43.58,2749,1124,1625,0.0,0,0,T,psg,qwen32,abla-2p
fde4_psg,fde41b1f,qwen2.5-coder:32b_12d3_psg_batch,success,43.29,2738,1124,1614,0.0,0,0,T,psg,qwen32,abla-2p
4c3e_psg,4c3efd5f,qwen2.5-coder:32b_12d3_psg_batch,success,43.95,2763,1124,1639,0.0,0,0,T,psg,qwen32,abla-2p
00c1_psg,00c18b01,qwen2.5-coder:32b_12d3_psg_batch,success,43.88,2760,1124,1636,0.0,0,0,T,psg,qwen32,abla-2p
5995_psg,59956f19,qwen2.5-coder:32b_12d3_psg_batch,success,43.93,2761,1124,1637,0.0,0,0,T,psg,qwen32,abla-2p
1e2d_psg,1e2d9515,qwen2.5-coder:32b_12d3_psg_batch,success,43.34,2741,1124,1617,0.0,0,0,T,psg,qwen32,abla-2p
8416_psg,8416acae,qwen2.5-coder:32b_12d3_psg_batch,success,44.82,2796,1124,1672,0.0,0,0,T,psg,qwen32,abla-2p
2d80_psg,2d807626,qwen2.5-coder:32b_12d3_psg_batch,success,43.66,2752,1124,1628,0.0,0,0,T,psg,qwen32,abla-2p
bf46_psg,bf46d984,qwen2.5-coder:32b_12d3_psg_batch,success,44.67,2790,1124,1666,0.0,0,0,T,psg,qwen32,abla-2p
bb70_psg,bb704d92,qwen2.5-coder:32b_12d3_psg_batch,success,43.53,2746,1124,1622,0.0,0,0,T,psg,qwen32,abla-2p
886d_psg,886d0bd6,qwen2.5-coder:32b_12d3_psg_batch,success,44.62,2789,1124,1665,0.0,0,0,T,psg,qwen32,abla-2p
b872_psg,b872ceaf,qwen2.5-coder:32b_12d3_psg_batch,success,44.86,2797,1124,1673,0.0,0,0,T,psg,qwen32,abla-2p
f0b0_psg,f0b0d2fb,qwen2.5-coder:32b_12d3_psg_batch,success,44.83,2797,1124,1673,0.0,0,0,T,psg,qwen32,abla-2p
45a6_psg,45a6815b,qwen2.5-coder:32b_12d3_psg_batch,success,43.38,2741,1124,1617,0.0,0,0,T,psg,qwen32,abla-2p
2ab3_psg,2ab30162,qwen2.5-coder:32b_12d3_psg_batch,success,44.0,2764,1124,1640,0.0,0,0,T,psg,qwen32,abla-2p
c96e_psg,c96e31e6,qwen2.5-coder:32b_12d3_psg_batch,success,43.95,2763,1124,1639,0.0,0,0,T,psg,qwen32,abla-2p
5f5a_psg,5f5a1266,qwen2.5-coder:32b_12d3_psg_batch,success,43.99,2764,1124,1640,0.0,0,0,T,psg,qwen32,abla-2p
72e7_psg,72e7bd2a,qwen2.5-coder:32b_12d3_psg_batch,success,44.34,2777,1124,1653,0.0,0,0,T,psg,qwen32,abla-2p
2400_psg,24008f8d,qwen2.5-coder:32b_12d3_psg_batch,success,44.33,2777,1124,1653,0.0,0,0,T,psg,qwen32,abla-2p
0423_psg,04238335,qwen2.5-coder:32b_12d3_psg_batch,success,44.9,2797,1124,1673,0.0,0,0,T,psg,qwen32,abla-2p
ac94_psg,ac94d0af,qwen2.5-coder:32b_12d3_psg_batch,success,44.39,2779,1124,1655,0.0,0,0,T,psg,qwen32,abla-2p
c6fc_psg,c6fcfd2d,qwen2.5-coder:32b_12d3_psg_batch,success,44.01,2765,1124,1641,0.0,0,0,T,psg,qwen32,abla-2p
0927_psg,0927dd53,qwen2.5-coder:32b_12d3_psg_batch,success,44.48,2783,1124,1659,0.0,0,0,T,psg,qwen32,abla-2p
270d_psg,270ded12,qwen2.5-coder:32b_12d3_psg_batch,success,43.95,2763,1124,1639,0.0,0,0,T,psg,qwen32,abla-2p
f4a9_sg,f4a96bc7,qwen2.5-coder:32b_12d3_sg_batch,failure,176.16,16301,10099,6202,0.0,0,0,T,sg,qwen32,abla-2p
7f5a_sg,7f5af3e9,qwen2.5-coder:32b_12d3_sg_batch,failure,168.4,16000,10099,5901,0.0,0,0,T,sg,qwen32,abla-2p
c8a6_sg,c8a6b0b6,qwen2.5-coder:32b_12d3_sg_batch,failure,164.3,15847,10099,5748,0.0,0,0,T,sg,qwen32,abla-2p
528b_sg,528ba6d5,qwen2.5-coder:32b_12d3_sg_batch,failure,161.46,15743,10099,5644,0.0,0,0,T,sg,qwen32,abla-2p
c43a_sg,c43a5d7d,qwen2.5-coder:32b_12d3_sg_batch,failure,176.88,16325,10099,6226,0.0,0,0,T,sg,qwen32,abla-2p
70a0_sg,70a08e2b,qwen2.5-coder:32b_12d3_sg_batch,failure,166.99,15959,10099,5860,0.0,0,0,T,sg,qwen32,abla-2p
c301_sg,c3013a55,qwen2.5-coder:32b_12d3_sg_batch,failure,175.94,16298,10099,6199,0.0,0,0,T,sg,qwen32,abla-2p
3983_sg,3983e1c6,qwen2.5-coder:32b_12d3_sg_batch,failure,159.12,15659,10099,5560,0.0,0,0,T,sg,qwen32,abla-2p
17db_sg,17db3bc7,qwen2.5-coder:32b_12d3_sg_batch,failure,183.07,16558,10099,6459,0.0,0,0,T,sg,qwen32,abla-2p
6847_sg,68474bbe,qwen2.5-coder:32b_12d3_sg_batch,failure,176.09,16299,10099,6200,0.0,0,0,T,sg,qwen32,abla-2p
ebad_sg,ebad8533,qwen2.5-coder:32b_12d3_sg_batch,failure,173.99,16220,10099,6121,0.0,0,0,T,sg,qwen32,abla-2p
a9e2_sg,a9e2a82b,qwen2.5-coder:32b_12d3_sg_batch,failure,169.71,16023,10099,5924,0.0,0,0,T,sg,qwen32,abla-2p
8816_sg,8816e6d1,qwen2.5-coder:32b_12d3_sg_batch,failure,167.55,15977,10099,5878,0.0,0,0,T,sg,qwen32,abla-2p
fdfc_sg,fdfcd2ba,qwen2.5-coder:32b_12d3_sg_batch,failure,187.81,16735,10099,6636,0.0,0,0,T,sg,qwen32,abla-2p
972b_sg,972bdb69,qwen2.5-coder:32b_12d3_sg_batch,failure,167.2,15966,10099,5867,0.0,0,0,T,sg,qwen32,abla-2p
bd56_sg,bd5689f5,qwen2.5-coder:32b_12d3_sg_batch,failure,188.18,16746,10099,6647,0.0,0,0,T,sg,qwen32,abla-2p
01c8_sg,01c8c3d4,qwen2.5-coder:32b_12d3_sg_batch,failure,205.09,17384,10099,7285,0.0,0,0,T,sg,qwen32,abla-2p
ffd1_sg,ffd17260,qwen2.5-coder:32b_12d3_sg_batch,failure,210.36,17584,10099,7485,0.0,0,0,T,sg,qwen32,abla-2p
3af2_sg,3af20978,qwen2.5-coder:32b_12d3_sg_batch,failure,168.78,16025,10099,5926,0.0,0,0,T,sg,qwen32,abla-2p
a700_sg,a700e1b7,qwen2.5-coder:32b_12d3_sg_batch,failure,167.56,15981,10099,5882,0.0,0,0,T,sg,qwen32,abla-2p
3b14_sg,3b14a287,qwen2.5-coder:32b_12d3_sg_batch,failure,208.13,14793,9306,5487,0.0,0,0,T,sg,qwen32,abla-2p
39d6_sg,39d6726e,qwen2.5-coder:32b_12d3_sg_batch,failure,164.81,15875,10099,5776,0.0,0,0,T,sg,qwen32,abla-2p
956c_sg,956c0d64,qwen2.5-coder:32b_12d3_sg_batch,failure,175.94,16255,10099,6156,0.0,0,0,T,sg,qwen32,abla-2p
06c4_sg,06c45397,qwen2.5-coder:32b_12d3_sg_batch,failure,170.85,16098,10099,5999,0.0,0,0,T,sg,qwen32,abla-2p
c400_sg,c4002b88,qwen2.5-coder:32b_12d3_sg_batch,failure,169.33,16044,10099,5945,0.0,0,0,T,sg,qwen32,abla-2p
