name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
fb81_pysg,fb812b1c,gemma3:27b_3888_psg,failure,105.67,13633,9913,3720,0,0,0,T,psg,gemma3
e74d_pysg,e74dc846,gemma3:27b_3888_psg,success,96.77,13296,9913,3383,0,0,0,T,psg,gemma3
c0a2_pysg,c0a24fb3,gemma3:27b_3888_psg,success,77.43,10572,7865,2707,0,0,0,T,psg,gemma3
2b20_pysg,2b200d1a,gemma3:27b_3888_psg,success,98.66,13368,9913,3455,0,0,0,T,psg,gemma3
c0a4_pysg,c0a42954,gemma3:27b_3888_psg,success,97.44,13313,9913,3400,0,0,0,T,psg,gemma3
fd29_pysg,fd29cff2,gemma3:27b_3888_psg,success,102.01,13497,9913,3584,0,0,0,T,psg,gemma3
645b_pysg,645b4c6a,gemma3:27b_3888_psg,failure,101.96,13489,9913,3576,0,0,0,T,psg,gemma3
86b1_pysg,86b1243a,gemma3:27b_3888_psg,success,99.84,13409,9913,3496,0,0,0,T,psg,gemma3
7ad7_pysg,7ad7d39a,gemma3:27b_3888_psg,failure,108.97,13757,9913,3844,0,0,0,T,psg,gemma3
d7fa_pysg,d7fafcfa,gemma3:27b_3888_psg,failure,101.56,13476,9913,3563,0,0,0,T,psg,gemma3
5f2c_pysg,5f2c5dd6,gemma3:27b_3888_psg,success,96.78,13291,9913,3378,0,0,0,T,psg,gemma3
b59f_tpusg,b59f160c,gemma3:27b_3888_tpusg,failure,176.06,15250,10158,5092,0,0,0,T,tpusg,gemma3
d91d_tpusg,d91d90b9,gemma3:27b_3888_tpusg,failure,142.31,15254,10158,5096,0,0,0,T,tpusg,gemma3
60b3_tpusg,60b3fe9f,gemma3:27b_3888_tpusg,failure,139.99,15160,10158,5002,0,0,0,T,tpusg,gemma3
f202_tpusg,f2027da6,gemma3:27b_3888_tpusg,failure,144.05,15323,10158,5165,0,0,0,T,tpusg,gemma3
6a6b_tpusg,6a6b1767,gemma3:27b_3888_tpusg,failure,145.28,15361,10158,5203,0,0,0,T,tpusg,gemma3
217c_tpusg,217c4039,gemma3:27b_3888_tpusg,failure,142.34,15257,10158,5099,0,0,0,T,tpusg,gemma3
e4a4_tpusg,e4a4cf2e,gemma3:27b_3888_tpusg,failure,142.35,15258,10158,5100,0,0,0,T,tpusg,gemma3
6037_tpusg,6037f408,gemma3:27b_3888_tpusg,failure,142.76,15276,10158,5118,0,0,0,T,tpusg,gemma3
eea8_tpusg,eea879b0,gemma3:27b_3888_tpusg,failure,142.32,15254,10158,5096,0,0,0,T,tpusg,gemma3
32a4_tpusg,32a440fa,gemma3:27b_3888_tpusg,failure,141.13,15204,10158,5046,0,0,0,T,tpusg,gemma3
84d9_tpusg,84d979ad,gemma3:27b_3888_tpusg,failure,142.36,15260,10158,5102,0,0,0,T,tpusg,gemma3
29d4_tpusg,29d45d32,gemma3:27b_3888_tpusg,failure,142.43,15260,10158,5102,0,0,0,T,tpusg,gemma3
97bf_tpusg,97bf0407,gemma3:27b_3888_tpusg,failure,141.85,15245,10158,5087,0,0,0,T,tpusg,gemma3
d790_tpusg,d79021f1,gemma3:27b_3888_tpusg,failure,144.23,15334,10158,5176,0,0,0,T,tpusg,gemma3
